category,subcategory,file_count,total_bytes
assets_images,ico,1,4286
assets_images,png,22,2988634
assets_images,webp,1,351122
audio,mp3,14,6325979
audio,wav,2550,184410330
cache_bytecode,pyc,123,730714
code,c,1,859808
code,javascript,3,4341
code,powershell,4,28666
code,python,332,2252277
code,shell,1,336
code,typescript,6,29884
code,typescript_react,65,289330
code,windows_batch,3,5157
code,windows_cmd,1,223
configs_manifests,json,4,3735
configs_manifests,no_extension,3,2549
configs_manifests,py,2,8080
configs_manifests,toml,3,2093
configs_manifests,txt,6,6070
data_and_configs,conf,1,917
data_and_configs,csv,3,45769
data_and_configs,data,1,1803
data_and_configs,json,14,1113491
data_and_configs,yaml,4,2633
data_and_configs,yml,1,469
docs,licenses_readmes_notices,5,20071
docs,readmes_guides,23,95098
notebooks,jupyter,1,1392
other,bib,1,19869
other,bicep,18,59857
other,dat,1,10880
other,example,1,664
other,lock,2,480041
other,md,14,66708
other,pdf,20,90366829
other,pyd,1,126976
other,pyx,1,1236
other,txt,60,564656
other_no_extension,no_extension,11,46149
web_ui,css,3,15715
web_ui,html,5,65020
