source_archive,source_id,archive_size_bytes,contained_file_count,contained_uncompressed_bytes,archive_sha256
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,272690270,533,287906560,98bf77aaaae663fdbb419c907cf68899c59e9bb62a8f96bcf4d71595f0ea80b7
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,3453331,205,5616828,78d8c22b65add4a30d7075255454ac0cc9685049e13c03423e0112732d0011ee
accent-prediction-main (1).zip,Accent_Prediction,4818153,12,12050256,fc9c116129cf7477aa7ea9158e99fbd9cb2b96d64dfd5f1939566d66ef76a661
Speech-Accent-Archive-Scraper-main (1).zip,GMU_Archive_Scraper,1260769,22,1706510,e29746155fa54d6fb19c0448f8a82e3abfa66252cabfa6d70ae80b58c54b4b64
Kaggle-Kernel-Speech-Accent-Archive-master (1).zip,Kaggle_GMU_Accent,17356050,20,25028255,b1f366da7e4610ffeb011be8acd8f78cd94e57c3fefec987b0b77d3efb0cb5c0
Speech-Accent-Mining-master (1).zip,Speech_Accent_Mining,7673992,35,9636113,0cc6b8cadfc004ad4b92bef0eb1871b463b1c0f434767ab60ec63b88ac50df59
CommonAccent_IS23-main (1).zip,CommonAccent_IS23,1660206,13,8254395,0ec9e22c261d99572ef34b0825be41a88d9fd351716d55800677bdce3844919f
LibriTTS-British-Accents-master (1).zip,LibriTTS_British,16076,15,34501,5c895d6af4b748ce81db2605ac1ef4287b151acc3ba7c51bbb10b090cee45193
KhanomTan-TTS-v1.0-main (1).zip,Thai_KhanomTan_TTS,97929594,276,111684218,530c47018fe14a5328d16f8b92cd3fa73f43764aab5a9341c147930deafa51e3
ThaiSpeechKit-main (1).zip,ThaiSpeechKit,13600,17,21401,44c11ac7f4bb6302c0b6d0272d5fd018310a5c16358a9fbbd7008eb7735dbcab
thonburian-tts-api-main (1).zip,Thai_Thonburian_API,10674,6,28459,74e586f6d9be1c2eeec2e145d1d4e315e890f69a68e3243054d089c3289514eb
thonburian-tts-main (1).zip,Thai_Thonburian_TTS,2847398,91,3929274,6c618d1c0242586cf26cf31ac32ac8278274bcffaba10c900d6cde20056b12eb
